DATASET_SIMPLEBAR

SEPARATOR COMMA

DATASET_LABEL,bar

COLOR,#ff0000

WIDTH,100

DATA
n8079,24.22
n8084,21.92
n8086,27.85
n8087,22.1
n8088,nan
n8092,0.54
n8093,33.16
n8094,27.5
n8096,30.31
n8098,21.62
n8099,24.87
n8100,nan
n8102,21.08
n8106,26.32
n8108,33.97
n8110,38.78
n8112,37.96
n8114,39.64
n8115,42.2
n8116,32.95
n8118,21.18
n8120,22.77
n8124,20.86
n8125,32.67
n8128,13.06
n8129,37.59
n8130,3.48
n8131,28.74
n8134,50.57
n8136,56.83
n8138,nan
n8140,43.72
n8141,42.58
n8142,nan
n8146,15.73
n8150,45.56
n8154,76.09
n8156,60.94
n8157,74.06
n8158,24.52
n8160,80.35
n8162,40.43
n8163,23.42
n8164,33.94
n8168,39.56
n8169,46.34
n8172,17.61
n8174,58.68
n8175,59.48
n8178,42.03
n8180,nan
n8182,nan
n8183,33.56
n8188,8.91
n8190,53.47
n8192,50.02
n8194,37.56
n8196,nan
n8197,nan
n8202,nan
n8206,49.63
n8207,41.57
n8208,29.19
n8210,48.82
n8212,20.67
n8213,46.38
n8218,35.8
n8220,13.09
n8224,71.97
n8225,29.08
n8226,36.69
n8228,35.48
n8230,23.87
n8231,41.05
n8234,25.28
n8235,7.35
n8238,29.52
n8239,20.92
n8242,66.06
n8244,93.64
n8245,90.42
n8246,nan
n8248,26.09
n8252,69.88
n8253,29.74
n8254,28.7
n8255,20.35
n8259,25.64
n8262,23.72
n8264,77.66
n8266,8.85
n8267,38.42
n8270,54.96
n8272,nan
n8273,nan
n8278,71.91
n8279,13.64
n8280,21.56
n8283,42.3
n8284,35.69
n8288,10.06
n8289,nan
n8292,25.1
n8293,51.45
n8294,21.41
n8296,81.64
n8300,92.92
n8301,34.74
n8302,46.59
n8306,28.02
n8307,21.15
n8308,43.06
n8310,32.36
n8312,47.22
n8313,61.34
n8320,16.39
n8321,nan
n8322,41.75
n8324,53.28
n8326,47.13
n8328,34.8
n8329,26.21
n8334,33.28
n8336,18.98
n8338,20.19
n8340,35.08
n8342,22.17
n8344,20.66
n8345,28.45
n8348,54.34
n8350,58.49
n8351,19.44
n8352,28.87
n8354,60.9
n8358,22.79
n8359,40.99
n8360,46.89
n8361,19.51
n8366,44.09
n8368,60.0
n8369,54.0
n8370,58.16
n8372,37.64
n8374,54.49
n8375,25.27
n8378,25.03
n8382,60.85
n8383,22.64
n8384,37.38
n8385,56.18
n8386,25.4
n8390,53.5
n8391,40.11
n8392,25.7
n8394,31.95
n8396,nan
n8398,65.0
n8399,56.66
n8404,37.91
n8405,49.0
n8406,29.6
n8409,25.71
n8412,20.22
n8414,74.46
n8416,57.36
n8420,25.23
n8422,59.38
n8423,66.62
n8424,39.6
n8426,25.91
n8428,36.12
n8430,54.34
n8432,34.88
n8433,45.01
n8438,36.42
n8440,51.88
n8442,31.66
n8443,21.34
n8444,69.36
n8448,30.92
n8449,32.03
n8452,39.32
n8454,72.14
n8455,47.38
n8456,38.72
n8458,47.51
n8459,36.95
n8464,5.97
n8466,18.8
n8467,35.15
n8468,41.9
n8474,nan
n8478,7.07
n8480,nan
n8482,nan
n8484,nan
n8488,nan
n8490,nan
n8491,nan
n8492,nan
n8494,nan
n8495,nan
n8496,nan
n8498,nan
n8500,41.52
n8506,20.05
n8507,nan
n8510,nan
n8511,nan
n8512,nan
n8513,nan
n8518,68.35
n8519,29.86
n8520,22.15
n8522,nan
n8524,18.46
n8525,61.68
n8526,nan
n8530,39.87
n8531,nan
n8532,24.01
n8534,nan
n8536,31.87
n8538,30.05
n8539,nan
n8544,nan
n8546,nan
n8550,nan
n8552,58.1
n8556,62.63
n8558,25.22
n8560,13.25
n8562,39.89
n8563,nan
n8566,nan
n8567,71.81
n8568,37.06
n8570,58.48
n8573,nan
n8574,nan
n8578,39.97
n8580,nan
n8582,50.23
n8584,27.63
n8585,29.48
n8592,33.45
n8593,58.45
n8594,10.65
n8595,nan
n8596,27.25
n8598,48.92
n8600,68.27
n8601,nan
n8602,28.99
n8606,nan
n8607,nan
n8612,nan
n8614,nan
n8615,nan
n8618,nan
n8619,nan
n8620,5.45
n8621,nan
n8624,42.49
n8626,nan
n8627,nan
n8630,nan
n8632,nan
n8633,nan
n8636,nan
n8639,nan
n8642,nan
n8643,nan
n8644,nan
n8645,nan
n8646,16.37
n8652,23.6
n8653,35.81
n8656,55.02
n8658,52.67
n8662,55.05
n8663,64.7
n8664,27.53
n8666,32.02
n8667,83.64
n8672,11.11
n8674,12.25
n8675,21.54
n8676,66.37
n8678,62.1
n8682,43.92
n8684,17.51
n8685,49.64
n8688,nan
n8689,nan
n8692,nan
n8693,nan
n8694,nan
n8695,nan
n8698,26.53
n8702,51.97
n8704,39.03
n8705,35.85
n8706,19.48
n8708,25.19
n8709,52.13
n8713,39.45
n8718,21.02
n8720,34.57
n8721,37.66
n8726,44.43
n8728,32.8
n8730,24.69
n8731,9.35
n8734,2.9
n8736,nan
n8737,nan
n8738,47.1
n8740,32.9
n8742,nan
n8746,34.02
n8747,45.15
n8748,37.53
n8749,32.44
n8752,12.08
n8754,36.94
n8756,27.95
n8758,nan
n8760,nan
n8761,nan
n8766,82.81
n8768,73.12
n8770,76.82
n8771,62.06
n8776,41.7
n8777,nan
n8778,2.74
n8780,46.54
n8782,26.8
n8783,24.73
n8784,19.68
n8786,53.71
n8788,34.33
n8790,nan
n8792,nan
n8796,nan
n8797,nan
n8798,nan
n8799,nan
n8802,36.92
n8804,nan
n8806,nan
n8808,45.62
n8809,42.54
n8812,25.39
n8813,36.65
n8814,26.36
n8816,14.24
n8818,26.59
n8824,27.11
n8825,21.3
n8826,24.63
n8828,45.56
n8829,20.7
n8833,nan
n8834,100.0
n8838,34.91
n8840,26.6
n8842,12.83
n8846,26.06
n8847,37.95
n8850,15.34
n8851,13.97
n8854,24.74
n8855,18.06
n8856,29.6
n8858,36.87
n8859,27.04
n8860,nan
n8864,25.71
n8866,27.75
n8868,13.44
n8870,25.79
n8872,23.48
n8874,37.06
n8876,20.27
n8878,19.0
n8879,19.37
n8882,36.64
n8884,21.92
n8886,31.89
n8887,11.5
n8888,28.25
n8892,73.86
n8894,23.16
n8895,33.7
n8896,14.42
n8898,18.38
n8900,30.04
n8901,41.61
n8902,53.79
n8904,26.17
n8906,28.54
n8908,9.29
n8912,20.59
n8913,32.44
n8914,4.39
n8916,24.05
n8918,41.34
n8920,20.36
n8924,7.71
n8925,1.32
n8934,26.59
n8935,41.33
n8936,4.24
n8938,82.28
n8939,11.98
n8942,66.29
n8943,27.41
n8946,60.89
n8947,70.12
n8948,53.95
n8949,28.79
n8950,6.99
n8954,13.74
n8956,15.83
n8958,5.48
n8960,20.27
n8962,16.44
n8963,22.21
n8964,16.67
n8966,13.37
n8968,0.27
n8970,17.84
n8972,8.21
n8973,23.42
n8976,30.57
n8978,12.33
n8980,50.96
n8982,29.26
n8983,49.77
n8988,19.68
n8990,4.09
n8991,nan
n8994,23.11
n8995,6.08
n8996,63.39
n9000,67.83
n9001,43.05
n9002,16.78
n9003,76.69
n9006,59.65
n9008,8.92
n9010,32.51
n9016,22.14
n9017,11.99
n9018,16.93
n9019,nan
n9022,15.78
n9023,6.37
n9026,32.26
n9030,15.63
n9031,7.98
n9032,19.82
n9034,17.7
n9035,19.34
n9038,41.51
n9040,14.88
n9042,29.82
n9043,20.06
n9044,36.53
n9046,32.66
n9048,21.53
n9049,18.91
n9050,10.39
n9054,35.07
n9055,21.32
n9058,43.04
n9060,23.24
n9061,28.45
n9064,nan
n9070,67.69
n9074,nan
n9075,19.92
n9078,40.8
n9082,34.93
n9083,15.97
n9084,20.57
n9085,18.92
n9086,24.6
n9090,52.86
n9092,35.15
n9093,nan
n9094,7.63
n9096,nan
n9100,49.5
n9101,37.39
n9102,67.96
n9103,26.32
n9108,12.46
n9110,nan
n9111,16.54
n9114,3.12
n9116,36.87
n9118,12.89
n9119,45.93
n9124,18.93
n9125,7.31
n9128,52.66
n9129,29.88
n9132,41.39
n9134,44.26
n9135,27.19
n9138,14.76
n9142,7.86
n9143,20.03
n9144,8.65
n9145,22.45
n9146,0.08
n9148,12.45
n9150,10.67
n9152,33.29
n9156,22.07
n9160,25.2
n9161,9.16
n9162,4.17
n9164,7.52
n9167,15.38
n9172,20.97
n9173,11.86
n9176,3.31
n9177,11.53
n9180,32.49
n9182,9.25
n9183,nan
n9184,20.18
n9186,12.05
n9190,42.95
n9192,11.63
n9194,11.45
n9195,19.84
n9198,11.55
n9199,20.94
n9200,19.04
n9202,90.85
n9203,50.57
n9204,15.58
n9210,26.75
n9211,49.64
n9212,50.24
n9214,8.65
n9215,7.89
n9220,32.29
n9221,25.31
n9224,44.67
n9226,12.69
n9227,38.57
n9228,14.07
n9230,1.3
n9233,13.16
n9234,17.68
n9236,17.71
n9240,10.89
n9241,7.25
n9242,11.85
n9246,22.09
n9247,18.99
n9250,12.63
n9252,12.56
n9254,25.56
n9258,6.45
n9259,34.63
n9264,12.99
n9265,68.37
n9268,34.93
n9272,22.71
n9273,19.24
n9274,65.15
n9278,16.09
n9280,57.52
n9282,32.85
n9284,35.71
n9285,30.12
n9286,49.54
n9288,16.64
n9290,58.52
n9294,34.05
n9296,9.03
n9297,13.54
n9300,16.53
n9302,13.05
n9304,19.4
n9305,19.3
n9306,19.94
n9308,11.19
n9310,23.79
n9312,28.03
n9313,11.49
n9320,39.38
n9324,57.88
n9326,27.59
n9327,3.05
n9328,20.71
n9332,12.92
n9334,24.39
n9335,3.59
n9336,16.72
n9338,13.62
n9344,44.87
n9345,9.56
n9346,6.17
n9348,32.9
n9349,11.61
n9352,9.17
n9353,14.92
n9356,80.61
n9358,18.67
n9359,nan
n9360,11.29
n9362,15.6
n9363,14.83
n9366,7.81
n9368,55.88
n9369,10.36
n9372,15.26
n9373,1.75
n9374,51.55
n9378,22.07
n9380,27.44
n9381,31.23
n9382,45.5
n9386,45.93
n9388,26.43
n9390,51.78
n9391,nan
n9396,64.06
n9397,38.7
n9398,59.8
n9400,16.48
n9402,45.95
n9404,39.92
n9405,16.1
n9406,44.98
n9408,45.09
n9410,nan
n9412,65.36
n9414,47.76
n9416,45.87
n9418,27.69
n9419,nan
n9422,44.58
n9426,51.69
n9427,nan
n9428,23.77
n9430,62.99
n9431,35.02
n9434,10.83
n9436,17.29
n9438,36.87
n9439,1.85
n9442,4.15
n9446,6.14
n9448,0.78
n9450,1.42
n9452,1.99
n9453,1.0
n9456,17.02
n9458,7.73
n9459,10.7
n9460,9.05
n9462,2.54
n9463,28.27
n9466,99.72
n9470,30.05
n9472,34.69
n9476,47.49
n9478,53.61
n9479,32.61
n9482,10.12
n9483,6.65
n9488,1.59
n9489,1.18
n9492,55.91
n9494,20.87
n9495,48.4
n9496,8.85
n9498,12.75
n9499,3.4
n9500,14.98
n9504,nan
n9508,26.72
n9509,27.42
n9512,38.51
n9513,35.97
n9514,1.63
n9515,19.19
n9518,17.28
n9520,19.48
n9522,23.6
n9523,29.07
n9526,63.95
n9528,37.87
n9529,17.84
n9532,12.19
n9534,6.62
n9536,11.95
n9537,2.99
n9538,0.58
n9540,33.0
n9544,17.58
n9545,23.05
n9548,27.53
n9550,5.61
n9551,11.68
n9552,18.15
n9554,23.37
n9555,nan
n9560,51.53
n9561,14.0
n9566,3.13
n9568,28.59
n9570,24.71
n9571,19.41
n9572,11.17
n9576,nan
n9577,19.78
n9578,60.41
n9580,33.86
n9582,3.85
n9584,13.71
n9585,13.97
n9588,2.58
n9592,20.27
n9593,nan
n9598,41.9
n9600,15.27
n9601,14.52
n9604,28.27
n9606,10.74
n9607,27.5
n9610,37.49
n9611,42.31
n9612,8.37
n9614,10.9
n9615,11.89
n9616,35.35
n9620,30.81
n9621,68.75
n9622,40.49
n9626,24.06
n9627,39.42
n9630,48.07
n9632,47.52
n9633,56.35
n9634,24.85
n9638,44.68
n9639,33.46
n9640,26.2
n9642,30.75
n9644,29.66
n9645,25.56
n9650,6.46
n9651,28.58
n9654,4.22
n9655,8.57
n9656,25.06
n9658,42.97
n9662,24.71
n9663,3.38
n9664,nan
n9665,nan
n9668,42.21
n9670,3.42
n9676,12.1
n9677,7.97
n9678,70.65
n9679,41.6
n9680,8.07
n9685,29.65
n9688,11.94
n9689,12.66
n9692,6.41
n9693,nan
n9694,11.68
n9696,4.13
n9697,9.42
n9700,5.04
n9701,8.7
n9704,0.68
n9705,26.31
n9708,21.46
n9710,9.04
n9712,24.41
n9714,25.98
n9715,19.02
n9718,62.09
n9719,38.83
n9724,3.01
n9726,13.8
n9728,8.88
n9729,3.54
n9736,59.41
n9737,85.03
n9738,46.27
n9740,nan
n9742,nan
n9744,69.04
n9746,nan
n9747,nan
n9750,28.22
n9754,37.66
n9755,36.35
n9756,31.07
n9757,27.46
n9760,49.79
n9762,29.27
n9763,20.26
n9764,2.94
n9766,13.2
n9767,31.22
n9770,52.57
n9772,33.87
n9774,33.86
n9775,nan
n9776,27.41
n9780,16.07
n9781,78.13
n9784,26.64
n9785,55.99
n9788,42.96
n9789,3.81
n9790,nan
n9794,5.91
n9796,nan
n9797,nan
n9800,3.0
n9801,nan
n9804,55.88
n9805,nan
n9806,30.21
n9808,17.31
n9809,nan
n9812,47.07
n9818,2.22
n9819,47.97
n9822,30.23
n9826,2.16
n9827,15.3
n9830,0.28
n9832,4.65
n9834,1.32
n9836,4.17
n9838,5.06
n9839,0.82
n9844,3.9
n9845,11.35
n9846,11.57
n9848,7.62
n9850,7.9
n9852,12.53
n9854,6.76
n9855,28.8
n9858,21.77
n9860,4.36
n9862,10.7
n9863,9.66
n9866,7.83
n9868,12.47
n9869,14.58
n9870,14.99
n9872,1.98
n9873,14.2
n9874,11.65
n9878,9.01
n9879,18.59
n9882,14.62
n9884,0.62
n9886,4.55
n9888,8.78
n9889,12.34
n9892,12.23
n9896,nan
n9897,11.96
n9902,12.74
n9903,4.69
n9904,4.59
n9906,13.2
n9908,10.57
n9909,9.66
n9910,4.2
n9914,5.42
n9915,12.38
n9916,0.95
n9918,6.26
n9919,2.43
n9922,57.62
n9924,34.46
n9926,19.23
n9928,18.84
n9929,60.89
n9930,63.15
n9934,35.84
n9936,27.22
n9937,68.15
n9940,37.24
n9941,55.81
n9946,55.46
n9948,13.77
n9949,20.9
n9952,22.58
n9954,61.97
n9956,15.76
n9957,37.64
n9958,50.0
n9960,27.44
n9962,12.38
n9964,40.26
n9965,40.28
n9966,30.42
n9968,14.3
n9974,54.35
n9976,49.92
n9977,58.52
n9978,23.4
n9984,46.05
n9986,20.58
n9988,48.78
n9990,16.33
n9992,15.99
n9993,64.12
n9996,30.76
n9997,23.45
n9998,25.13
n10000,18.62
n10002,45.09
n10004,19.89
n10006,15.36
n10010,66.04
n10012,49.09
n10014,42.45
n10015,13.61
n10018,74.2
n10019,16.49
n10020,8.26
n10022,9.6
n10026,27.17
n10028,44.97
n10032,15.88
n10034,11.78
n10035,25.1
n10036,27.95
n10038,27.13
n10040,20.77
n10042,17.27
n10044,59.99
n10046,10.51
n10047,37.49
n10052,78.3
n10053,53.96
n10054,nan
n10055,52.66
n10058,27.94
n10059,53.7
n10060,14.75
n10062,7.85
n10064,39.97
n10066,13.76
n10068,5.87
n10069,37.55
n10074,21.06
n10075,29.46
n10076,41.49
n10078,26.59
n10079,11.95
n10080,27.31
n10088,17.94
n10090,10.21
n10092,12.43
n10093,47.16
n10094,16.46
n10098,31.24
n10100,16.44
n10101,52.5
n10102,2.42
n10106,70.3
n10108,22.81
n10109,72.62
n10110,64.97
n10112,24.41
n10114,32.58
n10116,10.73
n10117,19.68
n10120,52.22
n10122,21.2
n10124,52.51
n10126,26.96
n10127,49.29
n10128,24.35
n10132,24.26
n10136,60.03
n10140,19.03
n10141,15.46
n10142,16.14
n10144,18.5
n10145,14.62
n10146,17.25
n10148,51.42
n10150,21.72
n10154,18.48
n10155,56.16
n10156,11.41
n10158,14.6
n10159,38.29
n10164,31.58
n10166,21.08
n10167,31.54
n10170,51.31
n10171,54.1
n10172,40.57
n10174,6.59
n10175,22.7
n10178,24.39
n10179,20.54
n10182,38.6
n10183,55.56
n10184,55.58
n10186,13.39
n10190,32.27
n10191,45.35
n10192,23.95
n10194,52.91
n10196,73.07
n10197,58.61
n10198,12.52
n10204,54.78
n10206,19.03
n10207,28.53
n10210,66.67
n10212,13.24
n10213,17.18
n10216,20.05
n10217,21.99
n10220,6.02
n10221,15.95
n10222,10.94
n10223,57.05
n10228,13.41
n10229,19.78
n10232,63.12
n10234,58.11
n10236,14.72
n10237,23.15
n10238,82.57
n10242,16.08
n10243,59.16
n10246,14.34
n10248,27.53
n10250,74.87
n10252,12.07
n10254,57.43
n10256,22.54
n10257,57.19
n10258,20.48
n10262,21.4
n10263,33.25
n10264,54.37
n10266,65.1
n10268,13.43
n10270,42.02
n10274,21.71
n10276,11.05
n10277,12.35
n10280,47.9
n10282,23.5
n10284,20.48
n10285,52.1
n10286,22.98
n10292,25.37
n10294,12.49
n10296,14.17
n10297,17.38
n10298,38.1
n10302,39.56
n10303,40.51
n10304,53.51
n10306,15.86
n10307,32.34
n10308,12.72
n10310,23.22
n10312,nan
n10314,13.79
n10316,13.1
n10318,35.44
n10320,15.66
n10322,52.8
n10324,17.61
n10325,31.71
n10328,41.74
n10330,34.11
n10332,15.52
n10333,35.66
n10334,12.5
n10338,20.22
n10342,18.33
n10344,37.31
n10345,58.26
n10346,39.44
n10348,16.23
n10354,2.94
n10355,26.19
n10356,55.68
n10357,32.76
n10358,37.73
n10362,18.26
n10363,61.65
n10364,17.43
n10366,59.87
n10367,49.53
n10368,47.29
n10372,17.01
n10374,43.81
n10378,0.03
n10380,35.69
n10381,74.87
n10382,65.71
n10388,20.55
n10389,16.01
n10390,76.64
n10392,25.21
n10393,46.45
n10394,13.91
n10396,11.52
n10400,17.2
n10401,14.74
n10402,17.24
n10406,22.35
n10408,54.12
n10410,48.99
n10412,64.79
n10413,17.37
n10414,14.16
n10418,31.78
n10419,22.66
n10422,18.03
n10423,59.61
n10424,52.5
n10425,17.68
n10428,52.49
n10429,49.13
n10430,66.57
n10432,50.73
n10434,35.18
n10436,11.82
n10438,17.21
n10440,28.05
n10442,82.66
n10444,17.83
n10448,26.8
n10449,68.82
n10450,13.5
n10452,18.88
n10456,19.39
n10458,21.73
n10460,80.58
n10462,24.28
n10464,14.06
n10466,27.2
n10468,18.2
n10469,16.58
n10470,20.53
n10472,80.84
n10474,23.83
n10476,7.06
n10478,59.46
n10480,58.93
n10482,18.1
n10483,44.0
n10486,26.35
n10490,nan
n10492,19.66
n10496,15.27
n10498,28.92
n10500,9.99
n10502,16.78
n10503,34.77
n10504,99.2
n10508,21.3
n10514,8.46
n10516,8.22
n10517,16.22
n10522,9.58
n10524,5.53
n10525,8.7
n10528,3.52
n10530,9.9
n10531,4.91
n10534,20.72
n10535,6.44
n10536,4.45
n10538,8.94
n10539,0.74
n10542,12.5
n10544,37.18
n10545,13.72
n10550,11.8
n10552,6.55
n10554,10.74
n10555,4.35
n10558,2.84
n10559,11.41
n10560,3.71
n10562,2.64
n10566,10.82
n10568,4.45
n10569,12.98
n10570,4.12
n10572,4.32
n10573,37.08
n10576,21.62
n10580,16.72
n10582,22.44
n10584,1.86
n10585,7.51
n10586,43.38
n10590,25.44
n10591,17.79
n10592,21.81
n10596,11.19
n10598,17.4
n10599,6.19
n10602,14.12
n10605,14.7
n10610,5.25
n10611,16.9
n10612,19.48
n10614,11.66
n10615,15.5
n10616,3.99
n10618,16.97
n10620,48.76
n10622,12.21
n10624,26.51
n10625,16.12
n10628,19.61
n10630,13.69
n10632,7.8
n10634,16.05
n10636,14.1
n10637,13.31
n10638,27.72
n10642,50.76
n10644,6.54
n10646,nan
n10647,17.75
n10652,16.98
n10654,5.95
n10655,3.88
n10658,7.56
n10659,1.73
n10662,nan
n10663,nan
n10664,18.67
n10665,nan
n10668,22.13
n10670,55.98
n10671,23.6
n10676,25.83
n10677,49.35
n10680,16.17
n10681,30.91
n10686,17.58
n10687,6.7
n10688,15.46
n10692,22.28
n10694,17.48
n10695,25.24
n10696,20.92
n10698,6.81
n10700,15.46
n10701,24.53
n10702,40.38
n10704,4.23
n10710,13.38
n10711,35.89
n10724,8.32
n10728,24.7
n10730,8.14
n10732,31.28
n10733,7.0
n10736,61.73
n10738,10.69
n10740,36.02
n10743,30.34
n10744,2.95
n10748,nan
n10750,42.18
n10752,4.51
n10754,23.26
n10756,2.09
n10758,4.83
n10759,10.73
n10764,74.82
n10766,64.59
n10768,53.89
n10770,38.45
n10771,58.81
n10776,7.48
n10777,37.11
n10778,46.83
n10780,77.29
n10781,7.53
n10782,14.65
n10786,2.11
n10787,nan
n10788,11.65
n10789,51.29
n10796,10.33
n10797,7.86
n10800,8.23
n10802,20.19
n10804,2.91
n10805,18.06
n10808,nan
n10810,27.03
n10812,35.86
n10813,35.81
n10816,15.65
n10817,34.71
n10818,26.96
n10820,2.59
n10822,14.05
n10824,6.09
n10826,3.95
n10827,8.2
n10830,81.7
n10832,24.72
n10833,7.53
n10836,26.3
n10838,19.69
n10840,47.47
n10841,32.08
n10846,18.35
n10850,9.77
n10852,22.88
n10854,21.65
n10856,15.73
n10857,26.37
n10858,22.17
n10862,29.3
n10864,39.56
n10865,10.62
n10866,30.39
n10868,19.88
n10872,22.03
n10874,17.3
n10875,13.67
n10876,16.61
n10878,18.54
n10880,22.3
n10881,28.51
n10888,1.69
n10889,4.07
n10890,9.45
n10891,31.2
n10892,14.24
n10896,18.28
n10898,25.78
n10899,31.06
n10900,21.92
n10904,10.4
n10906,18.87
n10908,6.09
n10909,15.86
n10912,36.45
n10916,15.1
n10917,12.32
n10918,13.38
n10919,28.76
n10920,23.57
n10922,nan
n10924,3.91
n10926,17.36
n10928,6.4
n10929,8.12
n10930,17.5
n10932,13.1
n10934,nan
n10940,2.43
n10942,6.7
n10944,1.66
n10945,30.19
n10946,14.55
n10948,13.08
n10952,8.48
n10953,16.11
n10954,28.36
n10955,12.84
n10956,30.44
n10958,19.31
n10960,12.38
n10964,nan
n10965,nan
n10966,21.05
n10968,15.14
n10972,16.43
n10974,18.13
n10975,79.24
n10976,16.64
n10978,20.73
n10980,51.32
n10982,25.47
n10983,13.66
n10984,11.02
n10986,22.71
n10988,26.62
n10990,3.19
n10992,22.46
n10996,17.12
n10997,25.25
n10998,13.37
n11000,27.38
n11006,19.24
n11008,11.27
n11009,20.42
n11012,14.14
n11014,14.79
n11015,10.77
n11018,24.03
n11020,10.48
n11022,6.79
n11023,21.47
n11024,17.19
n11026,13.65
n11030,20.45
n11032,6.56
n11034,22.65
n11035,15.94
n11036,21.44
n11038,17.32
n11040,34.14
n11042,25.74
n11046,17.12
n11048,16.32
n11049,10.37
n11052,13.45
n11053,2.46
n11056,21.15
n11058,51.39
n11060,14.78
n11061,19.83
n11064,19.03
n11066,20.12
n11067,25.83
n11070,19.76
n11072,34.47
n11073,18.46
n11076,34.62
n11077,9.9
n11078,15.09
n11080,11.69
n11082,27.73
n11083,14.78
n11086,3.85
n11088,24.81
n11089,10.31
n11092,nan
n11094,nan
n11096,28.39
n11097,22.19
n11102,nan
n11103,nan
n11106,9.57
n11107,21.27
n11110,29.45
n11111,25.33
n11116,8.17
n11118,31.27
n11119,22.3
n11122,21.65
n11123,31.37
n11124,22.19
n11126,17.82
n11128,25.74
n11129,16.61
n11130,20.37
n11132,40.62
n11134,10.93
n11136,14.34
n11138,12.26
n11142,13.68
n11144,18.66
n11145,17.61
n11146,16.66
n11148,21.23
n11149,23.68
n11150,8.4
n11154,20.01
n11155,11.44
n11156,26.47
n11162,22.14
n11164,23.1
n11165,17.84
n11168,15.9
n11170,18.35
n11171,23.39
n11174,27.27
n11175,19.2
n11176,16.91
n11178,16.2
n11179,12.78
n11182,11.32
n11186,nan
n11188,10.42
n11189,7.73
n11190,20.44
n11192,17.9
n11194,14.06
n11196,16.34
n11197,23.15
n11204,23.85
n11205,15.39
n11206,22.45
n11208,15.96
n11209,22.68
n11212,14.19
n11213,22.51
n11214,13.38
n11216,20.55
n11217,18.13
n11220,18.83
n11221,14.44
n11222,13.87
n11226,46.42
n11227,18.13
n11230,46.29
n11232,16.22
n11234,66.46
n11238,14.85
n11239,16.62
n11240,15.44
n11241,12.76
n11244,20.92
n11246,14.16
n11248,11.93
n11249,28.9
n11250,7.13
n11252,19.44
n11256,26.34
n11258,18.9
n11260,26.93
n11261,22.34
n11264,28.56
n11266,19.28
n11268,37.72
n11269,19.43
n11272,44.78
n11273,14.51
n11276,20.51
n11277,18.28
n11278,14.92
n11279,28.73
n11280,63.7
n11282,89.56
n11284,13.87
n11286,32.92
n11288,48.92
n11290,9.03
n11292,69.21
n11294,52.11
n11298,11.85
n11300,29.63
n11301,9.44
n11302,19.88
n11304,13.24
n11306,36.22
n11308,25.78
n11310,26.02
n11312,82.29
n11314,64.55
n11318,22.52
n11319,50.62
n11320,18.82
n11322,61.24
n11326,24.76
n11328,23.35
n11330,12.35
n11332,8.75
n11334,43.69
n11336,67.24
n11338,18.69
n11340,59.97
n11348,nan
n11352,nan
n11353,nan
n11354,nan
n11355,nan
n11358,31.41
n11359,27.99
n11360,82.02
n11362,nan
n11364,nan
n11365,nan
n11368,36.09
n11372,33.76
n11373,nan
n11374,14.0
n11375,13.87
n11378,75.17
n11380,71.8
n11382,nan
n11384,15.83
n11386,56.17
n11387,31.0
n11390,13.66
n11392,58.03
n11394,nan
n11396,10.99
n11397,73.2
n11398,15.64
n11400,49.39
n11402,41.25
n11406,24.28
n11407,47.37
n11408,24.03
n11410,17.17
n11411,37.1
n11412,11.29
n11414,65.49
n11416,7.24
n11418,31.57
n11422,73.98
n11423,61.9
n11426,23.73
n11430,32.23
n11432,38.44
n11433,46.34
n11436,22.11
n11437,29.54
n11438,29.36
n11440,76.52
n11442,13.69
n11443,72.28
n11448,35.92
n11449,55.82
n11450,60.74
n11454,17.11
n11456,24.68
n11457,24.4
n11460,64.36
n11461,38.77
n11462,5.14
n11464,20.28
n11466,19.34
n11467,17.19
n11470,2.45
n11472,62.41
n11473,35.7
n11478,35.38
n11479,46.17
n11482,25.96
n11484,15.01
n11486,88.75
n11487,nan
n11490,45.66
n11491,61.67
n11492,9.94
n11496,62.98
n11498,6.23
n11500,31.02
n11501,50.08
n11502,13.53
n11508,75.53
n11510,31.71
n11511,63.89
n11514,17.63
n11515,21.21
n11516,46.99
n11517,40.66
n11518,21.49
n11522,25.69
n11523,80.27
n11526,42.32
n11530,51.07
n11531,5.04
n11532,39.09
n11534,26.22
n11536,50.28
n11537,58.09
n11540,58.61
n11542,23.6
n11544,59.69
n11545,85.4
n11548,11.19
n11549,9.64
n11550,12.28
n11554,5.1
n11556,25.89
n11557,56.62
n11560,19.79
n11561,45.54
n11562,29.22
n11563,27.69
n11566,25.9
n11568,43.5
n11572,12.44
n11573,19.42
n11576,35.93
n11578,46.59
n11579,68.6
n11580,52.07
n11582,17.16
n11586,23.3
n11587,35.09
n11588,38.77
n11592,40.96
n11594,nan
n11596,35.66
n11597,70.63
n11604,24.14
n11606,27.43
n11608,32.72
n11610,nan
n11611,42.57
n11614,15.77
n11615,15.49
n11616,69.84
n11620,nan
n11621,32.24
n11624,47.32
n11625,74.84
n11626,15.17
n11628,23.63
n11629,59.54
n11632,26.52
n11633,70.19
n11634,14.72
n11638,27.71
n11640,23.51
n11642,35.54
n11644,9.0
n11645,50.71
n11646,19.47
n11650,28.08
n11652,18.33
n11654,20.54
n11656,79.56
n11658,19.83
n11659,16.73
n11662,53.79
n11664,50.58
n11666,40.53
n11667,48.73
n11670,46.44
n11671,37.01
n11672,36.25
n11674,nan
n11676,22.07
n11677,20.37
n11682,51.0
n11684,26.77
n11686,22.53
